time,e_line,u_L,u_R,v,omega
0,0,0.6,0.6,0.6,0
0.01,1.59999893333355e-05,0.599807920128053,0.600192079871947,0.6,0.00192079871946693
0.02,3.19999146667349e-05,0.599775760917812,0.600224239082187,0.6,0.00224239082187494
0.03,4.79997120005184e-05,0.599743522604581,0.600256477395419,0.6,0.00256477395418897
0.04,6.39993173355179e-05,0.599711205317312,0.600288794682688,0.6,0.00288794682687721
0.05,7.99986666733333e-05,0.599678809185275,0.600321190814725,0.6,0.00321190814724814
0.06,9.59976960165887e-05,0.599646334338054,0.600353665661946,0.6,0.00353665661945834
0.07,0.000111996341369188,0.599613780905549,0.600386219094451,0.6,0.00386219094451357
0.08,0.000127994538736571,0.599581149017972,0.600418850982028,0.6,0.00418850982027652
0.09,0.00014399222412597,0.599548438805853,0.600451561194147,0.6,0.00451561194147243
0.1,0.000159989333546665,0.599515650400031,0.600484349599969,0.6,0.00484349599969347
0.11,0.000175985803010238,0.59948278393166,0.60051721606834,0.6,0.0051721606834032
0.12,0.000191981568530834,0.599449839532206,0.600550160467794,0.6,0.00550160467794325
0.13,0.000207976566125412,0.599416817333446,0.600583182666554,0.6,0.00583182666553994
0.14,0.000223970731814003,0.59938371746747,0.60061628253253,0.6,0.00616282532530321
0.15,0.000239964001619965,0.599350540066676,0.600649459933324,0.6,0.00649459933324104
0.16,0.000255956311570241,0.599317285263774,0.600682714736226,0.6,0.00682714736225609
0.17,0.000271947597695612,0.599283953191784,0.600716046808216,0.6,0.00716046808215798
0.18,0.000287937796030954,0.599250543984034,0.600749456015966,0.6,0.00749456015966321
0.19,0.000303926842615496,0.599217057774159,0.60078294222584,0.6,0.00782942225840522
0.2,0.000319914673493073,0.599183494696107,0.600816505303893,0.6,0.00816505303893433
0.21,0.000335901224712383,0.599149854884127,0.600850145115873,0.6,0.00850145115873002
0.22,0.000351886432327242,0.59911613847278,0.60088386152722,0.6,0.00883861527219865
0.23,0.00036787023239684,0.599082345596932,0.600917654403068,0.6,0.00917654403068346
0.24,0.000383852560985999,0.599048476391753,0.600951523608247,0.6,0.0095152360824724
0.25,0.000399833354165427,0.59901453099272,0.60098546900728,0.6,0.00985469007279582
0.26,0.00041581254801197,0.598980509535616,0.601019490464384,0.6,0.0101949046438388
0.27,0.000431790078608876,0.598946412156526,0.601053587843474,0.6,0.0105358784347442
0.28,0.000447765882046044,0.598912238991838,0.601087761008162,0.6,0.0108776100816155
0.29,0.00046373989442028,0.598877990178247,0.601122009821753,0.6,0.0112200982175281
0.3,0.000479712051835557,0.598843665852747,0.601156334147253,0.6,0.0115633414725302
0.31,0.000495682290403266,0.598809266152635,0.601190733847365,0.6,0.0119073384736479
0.32,0.000511650546242474,0.598774791215511,0.601225208784489,0.6,0.012252087844894
0.33,0.00052761675548018,0.598740241179273,0.601259758820727,0.6,0.0125975882072715
0.34,0.000543580854251567,0.598705616182122,0.601294383817878,0.6,0.0129438381787805
0.35,0.000559542778700262,0.598670916362558,0.601329083637442,0.6,0.01329083637442
0.36,0.000575502464978588,0.59863614185938,0.60136385814062,0.6,0.0136385814061979
0.37,0.000591459849247822,0.598601292811686,0.601398707188314,0.6,0.0139870718831359
0.38,0.000607414867678447,0.598566369358873,0.601433630641127,0.6,0.0143363064112711
0.39,0.000623367456450412,0.598531371640633,0.601468628359367,0.6,0.0146862835936679
0.4,0.000639317551753382,0.598496299796959,0.601503700203041,0.6,0.0150370020304147
0.41,0.000655265089786997,0.598461153968136,0.601538846031864,0.6,0.0153884603186416
0.42,0.000671210006761126,0.598425934294749,0.601574065705251,0.6,0.0157406570525132
0.43,0.000687152238896124,0.598390640917675,0.601609359082324,0.6,0.0160935908232451
