time,e_line,u_L,u_R,v,omega
0,0,-1,1,0.6,10
0.01,9.99999333333467e-05,-1,1,0.6,10
0.02,0.000199999466667093,-1,1,0.6,10
0.03,0.00029999820000324,-1,1,0.6,10
0.04,0.000399995733346987,-1,1,0.6,10
0.05,0.000499991666708333,-1,1,0.6,10
0.06,0.00059998560010368,-1,1,0.6,10
0.07,0.000699977133557426,-1,1,0.6,10
0.08,0.000799965867103571,-1,1,0.6,10
0.09,0.000899951400787314,-1,1,0.6,10
0.1,0.000999933334666654,-1,1,0.6,10
0.11,0.00109991126881399,-1,1,0.6,10
0.12,0.00119988480331771,-1,1,0.6,10
0.13,0.00129985353828383,-1,1,0.6,10
0.14,0.00139981707383752,-1,1,0.6,10
0.15,0.00149977501012478,-1,1,0.6,10
0.16,0.00159972694731401,-1,1,0.6,10
0.17,0.00169967248559757,-1,1,0.6,10
0.18,0.00179961122519346,-1,1,0.6,10
0.19,0.00189954276634685,-1,1,0.6,10
0.2,0.00199946670933171,-1,1,0.6,10
0.21,0.00209938265445239,-1,1,0.6,10
0.22,0.00219929020204526,-1,1,0.6,10
0.23,0.00229918895248025,-1,1,0.6,10
0.24,0.0023990785061625,-1,1,0.6,10
0.25,0.00249895846353392,-1,1,0.6,10
0.26,0.00259882842507481,-1,1,0.6,10
0.27,0.00269868799130548,-1,1,0.6,10
0.28,0.00279853676278777,-1,1,0.6,10
0.29,0.00289837434012675,-1,1,0.6,10
0.3,0.00299820032397223,-1,1,0.6,10
0.31,0.00309801431502041,-1,1,0.6,10
0.32,0.00319781591401546,-1,1,0.6,10
0.33,0.00329760472175112,-1,1,0.6,10
0.34,0.0033973803390723,-1,1,0.6,10
0.35,0.00349714236687664,-1,1,0.6,10
0.36,0.00359689040611618,-1,1,0.6,10
0.37,0.00369662405779889,-1,1,0.6,10
0.38,0.0037963429229903,-1,1,0.6,10
0.39,0.00389604660281507,-1,1,0.6,10
0.4,0.00399573469845864,-1,1,0.6,10
0.41,0.00409540681116873,-1,1,0.6,10
0.42,0.00419506254225704,-1,1,0.6,10
0.43,0.00429470149310078,-1,1,0.6,10
0.44,0.00439432326514427,-1,1,0.6,10
0.45,0.00449392745990055,-1,1,0.6,10
0.46,0.00459351367895299,-1,1,0.6,10
0.47,0.00469308152395684,-1,1,0.6,10
0.48,0.00479263059664085,-1,1,0.6,10
0.49,0.00489216049880887,-1,1,0.6,10
0.5,0.00499167083234141,-1,1,0.6,10
0.51,0.00509116119919728,-1,1,0.6,10
0.52,0.00519063120141514,-1,1,0.6,10
0.53,0.00529008044111511,-1,1,0.6,10
0.54,0.00538950852050037,-1,1,0.6,10
0.55,0.00548891504185874,-1,1,0.6,10
0.56,0.00558829960756426,-1,1,0.6,10
0.57,0.0056876618200788,-1,1,0.6,10
0.58,0.00578700128195364,-1,1,0.6,10
0.59,0.00588631759583107,-1,1,0.6,10
0.6,0.00598561036444597,-1,1,0.6,10
0.61,0.00608487919062739,-1,1,0.6,10
0.62,0.00618412367730016,-1,1,0.6,10
0.63,0.00628334342748646,-1,1,0.6,10
0.64,0.00638253804430744,-1,1,0.6,10
0.65,0.00648170713098474,-1,1,0.6,10
0.66,0.00658085029084217,-1,1,0.6,10
0.67,0.0066799671273072,-1,1,0.6,10
0.68,0.00677905724391264,-1,1,0.6,10
0.69,0.00687812024429814,-1,1,0.6,10
0.7,0.00697715573221182,-1,1,0.6,10
0.71,0.00707616331151189,-1,1,0.6,10
0.72,0.00717514258616814,-1,1,0.6,10
0.73,0.00727409316026362,-1,1,0.6,10
0.74,0.00737301463799615,-1,1,0.6,10
0.75,0.00747190662367996,-1,1,0.6,10
0.76,0.00757076872174724,-1,1,0.6,10
0.77,0.00766960053674973,-1,1,0.6,10
0.78,0.0077684016733603,-1,1,0.6,10
0.79,0.00786717173637453,-1,1,0.6,10
0.8,0.0079659103307123,-1,1,0.6,10
0.81,0.00806461706141937,-1,1,0.6,10
0.82,0.00816329153366895,-1,1,0.6,10
0.83,0.00826193335276328,-1,1,0.6,10
0.84,0.00836054212413522,-1,1,0.6,10
0.85,0.0084591174533498,-1,1,0.6,10
0.86,0.00855765894610585,-1,1,0.6,10
0.87,0.00865616620823753,-1,1,0.6,10
0.88,0.00875463884571591,-1,1,0.6,10
0.89,0.00885307646465059,-1,1,0.6,10
0.9,0.00895147867129121,-1,1,0.6,10
0.91,0.00904984507202908,-1,1,0.6,10
0.92,0.00914817527339873,-1,1,0.6,10
0.93,0.00924646888207948,-1,1,0.6,10
0.94,0.00934472550489704,-1,1,0.6,10
0.95,0.00944294474882503,-1,1,0.6,10
0.96,0.00954112622098662,-1,1,0.6,10
0.97,0.00963926952865604,-1,1,0.6,10
0.98,0.00973737427926021,-1,1,0.6,10
0.99,0.00983544008038024,-1,1,0.6,10
1,0.00993346653975306,-1,1,0.6,10
1.01,0.010031453265273,-1,1,0.6,10
1.02,0.0101293998649932,-1,1,0.6,10
1.03,0.0102273059471275,-1,1,0.6,10
1.04,0.0103251711200516,-1,1,0.6,10
1.05,0.010422994992305,-1,1,0.6,10
1.06,0.0105207771725923,-1,1,0.6,10
1.07,0.010618517269785,-1,1,0.6,10
1.08,0.0107162148929227,-1,1,0.6,10
1.09,0.0108138696512152,-1,1,0.6,10
1.1,0.0109114811540435,-1,1,0.6,10
1.11,0.0110090490109617,-1,1,0.6,10
1.12,0.0111065728316985,-1,1,0.6,10
1.13,0.0112040522261588,-1,1,0.6,10
1.14,0.0113014868044252,-1,1,0.6,10
1.15,0.0113988761767594,-1,1,0.6,10
1.16,0.0114962199536041,-1,1,0.6,10
1.17,0.0115935177455843,-1,1,0.6,10
1.18,0.011690769163509,-1,1,0.6,10
1.19,0.0117879738183727,-1,1,0.6,10
1.2,0.0118851313213567,-1,1,0.6,10
1.21,0.0119822412838314,-1,1,0.6,10
1.22,0.0120793033173568,-1,1,0.6,10
1.23,0.0121763170336851,-1,1,0.6,10
1.24,0.0122732820447616,-1,1,0.6,10
1.25,0.0123701979627261,-1,1,0.6,10
1.26,0.0124670643999154,-1,1,0.6,10
1.27,0.0125638809688636,-1,1,0.6,10
1.28,0.0126606472823048,-1,1,0.6,10
1.29,0.0127573629531737,-1,1,0.6,10
1.3,0.0128540275946078,-1,1,0.6,10
1.31,0.0129506408199486,-1,1,0.6,10
1.32,0.0130472022427434,-1,1,0.6,10
1.33,0.0131437114767467,-1,1,0.6,10
1.34,0.0132401681359216,-1,1,0.6,10
1.35,0.0133365718344416,-1,1,0.6,10
1.36,0.013432922186692,-1,1,0.6,10
1.37,0.0135292188072716,-1,1,0.6,10
1.38,0.013625461310994,-1,1,0.6,10
1.39,0.0137216493128893,-1,1,0.6,10
1.4,0.0138177824282057,-1,1,0.6,10
1.41,0.0139138602724108,-1,1,0.6,10
1.42,0.0140098824611933,-1,1,0.6,10
1.43,0.0141058486104647,-1,1,0.6,10
1.44,0.0142017583363604,-1,1,0.6,10
1.45,0.0142976112552418,-1,1,0.6,10
1.46,0.0143934069836972,-1,1,0.6,10
1.47,0.0144891451385438,-1,1,0.6,10
1.48,0.0145848253368292,-1,1,0.6,10
1.49,0.0146804471958327,-1,1,0.6,10
1.5,0.014776010333067,-1,1,0.6,10
1.51,0.0148715143662796,-1,1,0.6,10
1.52,0.0149669589134547,-1,1,0.6,10
1.53,0.015062343592814,-1,1,0.6,10
1.54,0.015157668022819,-1,1,0.6,10
1.55,0.0152529318221722,-1,1,0.6,10
1.56,0.0153481346098184,-1,1,0.6,10
1.57,0.0154432760049466,-1,1,0.6,10
1.58,0.0155383556269914,-1,1,0.6,10
1.59,0.0156333730956344,-1,1,0.6,10
1.6,0.0157283280308059,-1,1,0.6,10
1.61,0.0158232200526862,-1,1,0.6,10
1.62,0.0159180487817074,-1,1,0.6,10
1.63,0.0160128138385547,-1,1,0.6,10
1.64,0.016107514844168,-1,1,0.6,10
1.65,0.0162021514197434,-1,1,0.6,10
1.66,0.0162967231867347,-1,1,0.6,10
1.67,0.016391229766855,-1,1,0.6,10
1.68,0.0164856707820781,-1,1,0.6,10
1.69,0.0165800458546401,-1,1,0.6,10
1.7,0.0166743546070407,-1,1,0.6,10
1.71,0.0167685966620452,-1,1,0.6,10
1.72,0.0168627716426853,-1,1,0.6,10
1.73,0.0169568791722614,-1,1,0.6,10
1.74,0.0170509188743434,-1,1,0.6,10
1.75,0.0171448903727726,-1,1,0.6,10
1.76,0.0172387932916632,-1,1,0.6,10
1.77,0.0173326272554036,-1,1,0.6,10
1.78,0.0174263918886581,-1,1,0.6,10
1.79,0.0175200868163682,-1,1,0.6,10
1.8,0.0176137116637545,-1,1,0.6,10
1.81,0.0177072660563176,-1,1,0.6,10
1.82,0.0178007496198401,-1,1,0.6,10
1.83,0.0178941619803878,-1,1,0.6,10
1.84,0.0179875027643115,-1,1,0.6,10
1.85,0.0180807715982481,-1,1,0.6,10
1.86,0.0181739681091224,-1,1,0.6,10
1.87,0.0182670919241485,-1,1,0.6,10
1.88,0.0183601426708313,-1,1,0.6,10
1.89,0.0184531199769679,-1,1,0.6,10
1.9,0.0185460234706491,-1,1,0.6,10
1.91,0.0186388527802612,-1,1,0.6,10
1.92,0.0187316075344871,-1,1,0.6,10
1.93,0.0188242873623078,-1,1,0.6,10
1.94,0.0189168918930041,-1,1,0.6,10
1.95,0.0190094207561581,-1,1,0.6,10
1.96,0.0191018735816544,-1,1,0.6,10
1.97,0.0191942499996818,-1,1,0.6,10
1.98,0.0192865496407349,-1,1,0.6,10
1.99,0.019378772135615,-1,1,0.6,10
2,0.0194709171154325,-1,1,0.6,10
2.01,0.0195629842116075,-1,1,0.6,10
2.02,0.0196549730558717,-1,1,0.6,10
2.03,0.0197468832802699,-1,1,0.6,10
2.04,0.0198387145171613,-1,1,0.6,10
2.05,0.0199304663992211,-1,1,0.6,10
2.06,0.0200221385594419,-1,1,0.6,10
2.07,0.0201137306311352,-1,1,0.6,10
2.08,0.0202052422479327,-1,1,0.6,10
2.09,0.0202966730437881,-1,1,0.6,10
2.1,0.0203880226529785,-1,1,0.6,10
2.11,0.0204792907101054,-1,1,0.6,10
2.12,0.0205704768500968,-1,1,0.6,10
2.13,0.0206615807082083,-1,1,0.6,10
2.14,0.0207526019200244,-1,1,0.6,10
2.15,0.0208435401214605,-1,1,0.6,10
2.16,0.020934394948764,-1,1,0.6,10
2.17,0.0210251660385155,-1,1,0.6,10
2.18,0.021115853027631,-1,1,0.6,10
2.19,0.0212064555533624,-1,1,0.6,10
2.2,0.0212969732533,-1,1,0.6,10
2.21,0.0213874057653729,-1,1,0.6,10
2.22,0.0214777527278513,-1,1,0.6,10
2.23,0.0215680137793474,-1,1,0.6,10
2.24,0.0216581885588171,-1,1,0.6,10
2.25,0.0217482767055615,-1,1,0.6,10
2.26,0.0218382778592281,-1,1,0.6,10
2.27,0.0219281916598123,-1,1,0.6,10
2.28,0.0220180177476592,-1,1,0.6,10
2.29,0.0221077557634644,-1,1,0.6,10
2.3,0.022197405348276,-1,1,0.6,10
2.31,0.0222869661434958,-1,1,0.6,10
2.32,0.0223764377908808,-1,1,0.6,10
2.33,0.0224658199325444,-1,1,0.6,10
2.34,0.0225551122109583,-1,1,0.6,10
2.35,0.0226443142689534,-1,1,0.6,10
2.36,0.0227334257497216,-1,1,0.6,10
2.37,0.0228224462968172,-1,1,0.6,10
2.38,0.0229113755541579,-1,1,0.6,10
2.39,0.023000213166027,-1,1,0.6,10
2.4,0.0230889587770741,-1,1,0.6,10
2.41,0.0231776120323169,-1,1,0.6,10
2.42,0.0232661725771425,-1,1,0.6,10
2.43,0.0233546400573088,-1,1,0.6,10
2.44,0.0234430141189459,-1,1,0.6,10
2.45,0.0235312944085579,-1,1,0.6,10
2.46,0.0236194805730236,-1,1,0.6,10
2.47,0.0237075722595985,-1,1,0.6,10
2.48,0.023795569115916,-1,1,0.6,10
2.49,0.0238834707899887,-1,1,0.6,10
2.5,0.0239712769302102,-1,1,0.6,10
2.51,0.0240589871853558,-1,1,0.6,10
2.52,0.0241466012045848,-1,1,0.6,10
2.53,0.0242341186374412,-1,1,0.6,10
2.54,0.0243215391338553,-1,1,0.6,10
2.55,0.0244088623441454,-1,1,0.6,10
2.56,0.0244960879190186,-1,1,0.6,10
2.57,0.0245832155095728,-1,1,0.6,10
2.58,0.0246702447672977,-1,1,0.6,10
2.59,0.0247571753440765,-1,1,0.6,10
2.6,0.0248440068921868,-1,1,0.6,10
2.61,0.0249307390643028,-1,1,0.6,10
2.62,0.0250173715134957,-1,1,0.6,10
2.63,0.0251039038932359,-1,1,0.6,10
