t,e_line,u_L,u_R,v,omega
0,0.025,0.49625,0.50375,0.5,0.0375
0.01,0.0243239685381295,0.496351404719281,0.503648595280719,0.5,0.036485952807194
0.02,0.0236697638168229,0.496449535427477,0.503550464572523,0.5,0.0355046457252342
0.03,0.0230367305451304,0.49654449041823,0.50345550958177,0.5,0.0345550958176954
0.04,0.0224242325088278,0.496636365123676,0.503363634876324,0.5,0.0336363487632418
0.05,0.021831652008273,0.496725252198759,0.503274747801241,0.5,0.0327474780124093
0.06,0.0212583893129215,0.496811241603062,0.503188758396938,0.5,0.0318875839693822
0.07,0.0207038621320084,0.496894420680199,0.503105579319801,0.5,0.0310557931980127
0.08,0.0201675051009199,0.496974874234862,0.503025125765138,0.5,0.03025125765138
0.09,0.0196487692827887,0.497052684607582,0.502947315392418,0.5,0.0294731539241833
0.1,0.0191471216848645,0.49712793174727,0.50287206825273,0.5,0.0287206825272968
0.11,0.0186620447892213,0.497200693281617,0.502799306718383,0.5,0.0279930671838322
0.12,0.0181930360973796,0.497271044585393,0.502728955414607,0.5,0.0272895541460694
0.13,0.0177396076884285,0.497339058846736,0.502660941153264,0.5,0.0266094115326429
0.14,0.0173012857902528,0.497404807131462,0.502595192868538,0.5,0.0259519286853793
0.15,0.016877610363473,0.497468358445479,0.502531641554521,0.5,0.0253164155452093
0.16,0.0164681346977256,0.497529779795341,0.502470220204659,0.5,0.0247022020465881
0.17,0.0160724250199169,0.497589136247012,0.502410863752987,0.5,0.0241086375298752
0.18,0.0156900601140966,0.497646490982885,0.502353509017115,0.5,0.0235350901711451
0.19,0.0153206309526071,0.497701905357109,0.502298094642891,0.5,0.0229809464289107
0.2,0.0149637403381749,0.497755438949274,0.502244561050726,0.5,0.0224456105072623
0.21,0.0146190025566219,0.497807149616507,0.502192850383493,0.5,0.0219285038349326
0.22,0.0142860430398791,0.497857093544018,0.502142906455982,0.5,0.0214290645598189
0.23,0.0139644980390013,0.49790532529415,0.50209467470585,0.5,0.020946747058502
0.24,0.0136540143068845,0.497951897853967,0.502048102146033,0.5,0.0204810214603268
0.25,0.0133542487904001,0.49799686268144,0.50200313731856,0.5,0.0200313731856003
0.26,0.0130648683316666,0.49804026975025,0.50195973024975,0.5,0.0195973024975002
0.27,0.0127855493781885,0.498082167593272,0.501917832406728,0.5,0.0191783240672827
0.28,0.0125159777015996,0.49812260334476,0.50187739665524,0.5,0.0187739665523992
0.29,0.0122558481247572,0.498161622781286,0.501838377218714,0.5,0.018383772187136
0.3,0.0120048642569384,0.498199270361459,0.501800729638541,0.5,0.0180072963854075
0.31,0.011762738236899,0.498235589264465,0.501764410735535,0.5,0.0176441073553488
0.32,0.0115291904835638,0.498270621427465,0.501729378572535,0.5,0.0172937857253455
0.33,0.0113039494541195,0.498304407581882,0.501695592418118,0.5,0.016955924181179
0.34,0.0110867514092934,0.498336987288606,0.501663012711394,0.5,0.0166301271139402
0.35,0.0108773401856042,0.498368398972159,0.501631601027841,0.5,0.0163160102784066
0.36,0.0106754669743781,0.498398679953843,0.501601320046157,0.5,0.0160132004615673
0.37,0.0104808901073299,0.498427866483901,0.5015721335161,0.5,0.015721335160995
0.38,0.010293374848515,0.498455993772723,0.501544006227277,0.5,0.0154400622727724
0.39,0.0101126931924638,0.49848309602113,0.50151690397887,0.5,0.0151690397886958
0.4,0.00993862366831363,0.498509206449753,0.501490793550247,0.5,0.0149079355024706
0.41,0.00977095114976294,0.498534357327536,0.501465642672464,0.5,0.0146564267246443
0.42,0.00960946667067306,0.498558579999399,0.501441420000601,0.5,0.0144142000060096
0.43,0.00945396724615134,0.498581904913077,0.501418095086923,0.5,0.014180950869227
0.44,0.00930425569895274,0.498604361645157,0.501395638354843,0.5,0.0139563835484291
0.45,0.00916014049104227,0.498625978926344,0.501374021073656,0.5,0.0137402107365636
0.46,0.00902143556016526,0.498646784665975,0.501353215334025,0.5,0.0135321533402477
0.47,0.00888796016127687,0.498666805975808,0.501333194024192,0.5,0.0133319402419152
0.48,0.00875953871268683,0.498686069193097,0.501313930806903,0.5,0.0131393080690301
0.49,0.00863600064677943,0.498704599902983,0.501295400097017,0.5,0.012954000970169
