run_id,scenario_id,t,x,y,theta,v,omega,e_line,line_loss_flag,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,obstacle_flag,fault_flag,u_L,u_R,sat_flag_L,sat_flag_R,safety_violation,notes
Team05_S1_iter14,S1,0.000,-0.0000,0.0827,-0.0430,-0.0031,-10.6667,0.0800,0,0.0423,0.0000,0.0077,0.1056,0.5396,0,0,1.0000,-1.0000,1,1,0,
Team05_S1_iter14,S1,0.010,0.0025,0.0772,-0.0800,0.2541,-2.8271,0.0827,0,0.0132,0.0060,0.0347,0.1110,0.4404,0,0,0.5879,0.0521,0,0,0,
Team05_S1_iter14,S1,0.020,0.0052,0.0829,-0.0378,0.2668,4.3096,0.0772,0,0.0316,0.0255,0.0633,0.1732,0.6223,0,0,-0.0730,0.7130,0,0,0,
Team05_S1_iter14,S1,0.030,0.0077,0.0785,-0.1114,0.2572,-5.3324,0.0829,0,0.0000,0.0212,0.0342,0.1154,0.4802,0,0,0.8190,-0.1790,0,0,0,
Team05_S1_iter14,S1,0.040,0.0103,0.0700,-0.0611,0.2592,3.2962,0.0785,0,0.0359,0.0000,0.0171,0.1540,0.5888,0,0,0.0152,0.6248,0,0,0,
Team05_S1_iter14,S1,0.050,0.0130,0.0655,0.0060,0.2677,6.8457,0.0700,0,0.0138,0.0036,0.0724,0.2693,0.7828,0,0,-0.3143,0.9543,0,0,0,
Team05_S1_iter14,S1,0.060,0.0157,0.0706,0.0422,0.2667,3.5516,0.0655,0,0.0162,0.0000,0.0785,0.3639,0.9098,0,0,0.0004,0.6396,0,0,0,
Team05_S1_iter14,S1,0.070,0.0180,0.0684,-0.0012,0.2363,-4.6315,0.0706,0,0.0000,0.0000,0.0666,0.2872,0.7783,0,0,0.7713,-0.1313,0,0,0,
Team05_S1_iter14,S1,0.080,0.0206,0.0719,0.0250,0.2583,1.5520,0.0684,0,0.0000,0.0196,0.0949,0.3339,0.8896,0,0,0.1811,0.4589,0,0,0,
Team05_S1_iter14,S1,0.090,0.0232,0.0777,-0.0105,0.2596,-3.5434,0.0719,0,0.0000,0.0134,0.0392,0.2280,0.7290,0,0,0.6478,-0.0078,0,0,0,
Team05_S1_iter14,S1,0.100,0.0256,0.0777,-0.0678,0.2426,-5.3238,0.0777,0,0.0326,0.0028,0.0064,0.1773,0.5935,0,0,0.8295,-0.1895,0,0,0,
Team05_S1_iter14,S1,0.110,0.0282,0.0825,-0.0835,0.2558,-0.4434,0.0777,0,0.0039,0.0000,0.0292,0.1829,0.6095,0,0,0.3638,0.2762,0,0,0,
Team05_S1_iter14,S1,0.120,0.0306,0.0798,-0.1251,0.2424,-4.5136,0.0825,0,0.0000,0.0172,0.0432,0.0907,0.4366,0,0,0.7555,-0.1155,0,0,0,
Team05_S1_iter14,S1,0.130,0.0332,0.0802,-0.0962,0.2598,1.9261,0.0798,0,0.0000,0.0017,0.0205,0.1445,0.5490,0,0,0.1480,0.4920,0,0,0,
Team05_S1_iter14,S1,0.140,0.0357,0.0803,-0.0995,0.2546,-0.8504,0.0802,0,0.0261,0.0000,0.0000,0.1804,0.5365,0,0,0.4067,0.2333,0,0,0,
Team05_S1_iter14,S1,0.150,0.0382,0.0865,-0.1076,0.2546,-0.4565,0.0803,0,0.0368,0.0024,0.0000,0.1319,0.5321,0,0,0.3744,0.2656,0,0,0,
Team05_S1_iter14,S1,0.160,0.0407,0.0896,-0.1614,0.2460,-5.7411,0.0865,0,0.0000,0.0000,0.0032,0.0222,0.3834,0,0,0.8655,-0.2255,0,0,0,
Team05_S1_iter14,S1,0.170,0.0431,0.0919,-0.1945,0.2423,-3.0615,0.0896,0,0.0000,0.0238,0.0118,0.0385,0.2962,0,0,0.6250,0.0150,0,0,0,
Team05_S1_iter14,S1,0.180,0.0455,0.0964,-0.2232,0.2476,-2.4010,0.0919,0,0.0000,0.0038,0.0000,0.0323,0.2930,0,0,0.5594,0.0806,0,0,0,
Team05_S1_iter14,S1,0.190,0.0478,0.0970,-0.2658,0.2348,-4.2196,0.0964,0,0.0000,0.0176,0.0337,0.0701,0.1464,0,0,0.7356,-0.0956,0,0,0,
Team05_S1_iter14,S1,0.200,0.0502,0.1011,-0.2807,0.2554,-1.0910,0.0970,0,0.0000,0.0000,0.0109,0.0423,0.1903,0,0,0.4244,0.2156,0,0,0,
Team05_S1_iter14,S1,0.210,0.0527,0.0987,-0.3087,0.2540,-4.1313,0.1011,0,0.0325,0.0000,0.0475,0.0240,0.1471,0,0,0.7093,-0.0693,0,0,0,
Team05_S1_iter14,S1,0.220,0.0552,0.0922,-0.2859,0.2629,1.6515,0.0987,0,0.0426,0.0000,0.0000,0.0513,0.1280,0,0,0.1846,0.4554,0,0,0,
Team05_S1_iter14,S1,0.230,0.0576,0.0794,-0.2533,0.2533,4.8995,0.0922,0,0.0061,0.0000,0.0000,0.0544,0.2811,0,0,-0.1417,0.7817,0,0,0,
Team05_S1_iter14,S1,0.240,0.0591,0.0864,-0.1699,0.1532,8.8808,0.0794,0,0.0000,0.0000,0.0127,0.1300,0.5557,0,0,-0.6565,1.0000,0,1,0,
Team05_S1_iter14,S1,0.250,0.0616,0.0883,-0.2379,0.2527,-6.5220,0.0864,0,0.0111,0.0000,0.0000,0.0750,0.3697,0,0,0.9336,-0.2936,0,0,0,
Team05_S1_iter14,S1,0.260,0.0640,0.0849,-0.2517,0.2512,-2.0732,0.0883,0,0.0000,0.0051,0.0089,0.0567,0.3427,0,0,0.5239,0.1161,0,0,0,
Team05_S1_iter14,S1,0.270,0.0665,0.0808,-0.2319,0.2589,2.4165,0.0849,0,0.0000,0.0000,0.0000,0.0669,0.4135,0,0,0.0986,0.5414,0,0,0,
Team05_S1_iter14,S1,0.280,0.0692,0.0760,-0.2148,0.2692,3.1712,0.0808,0,0.0000,0.0103,0.0191,0.1133,0.4962,0,0,0.0415,0.5985,0,0,0,
Team05_S1_iter14,S1,0.290,0.0717,0.0815,-0.1741,0.2639,3.6871,0.0760,0,0.0000,0.0000,0.0041,0.1977,0.6643,0,0,-0.0163,0.6563,0,0,0,
Team05_S1_iter14,S1,0.300,0.0741,0.0779,-0.2163,0.2393,-5.0438,0.0815,0,0.0000,0.0000,0.0451,0.1177,0.5078,0,0,0.8063,-0.1663,0,0,0,
Team05_S1_iter14,S1,0.310,0.0766,0.0773,-0.1922,0.2609,2.6928,0.0779,0,0.0150,0.0323,0.0365,0.1510,0.5545,0,0,0.0756,0.5644,0,0,0,
Team05_S1_iter14,S1,0.320,0.0792,0.0792,-0.1921,0.2560,0.0341,0.0773,0,0.0000,0.0062,0.0377,0.1746,0.6031,0,0,0.3176,0.3224,0,0,0,
Team05_S1_iter14,S1,0.330,0.0816,0.0705,-0.2069,0.2513,-2.1076,0.0792,0,0.0000,0.0000,0.0403,0.1702,0.5290,0,0,0.5268,0.1132,0,0,0,
Team05_S1_iter14,S1,0.340,0.0842,0.0731,-0.1293,0.2660,7.1163,0.0705,0,0.0000,0.0196,0.0715,0.3111,0.7664,0,0,-0.3410,0.9810,0,0,0,
Team05_S1_iter14,S1,0.350,0.0867,0.0753,-0.1601,0.2501,-2.6112,0.0731,0,0.0162,0.0341,0.0107,0.2297,0.7182,0,0,0.5741,0.0659,0,0,0,
Team05_S1_iter14,S1,0.360,0.0892,0.0712,-0.1796,0.2497,-2.2119,0.0753,0,0.0000,0.0033,0.0000,0.1971,0.6565,0,0,0.5391,0.1009,0,0,0,
Team05_S1_iter14,S1,0.370,0.0918,0.0762,-0.1570,0.2618,3.0630,0.0712,0,0.0108,0.0000,0.0666,0.2539,0.8042,0,0,0.0411,0.5989,0,0,0,
Team05_S1_iter14,S1,0.380,0.0941,0.0858,-0.2185,0.2366,-4.5492,0.0762,0,0.0138,0.0386,0.0099,0.1748,0.6321,0,0,0.7636,-0.1236,0,0,0,
Team05_S1_iter14,S1,0.390,0.0960,0.0884,-0.3042,0.1919,-7.9747,0.0858,0,0.0046,0.0000,0.0000,0.0838,0.3732,0,0,1.0000,-0.5014,1,0,0,
Team05_S1_iter14,S1,0.400,0.0983,0.0909,-0.3376,0.2488,-2.6273,0.0884,0,0.0000,0.0000,0.0000,0.0750,0.3086,0,0,0.5775,0.0625,0,0,0,
Team05_S1_iter14,S1,0.410,0.1007,0.0880,-0.3702,0.2482,-2.5906,0.0909,0,0.0259,0.0007,0.0000,0.0251,0.2885,0,0,0.5752,0.0648,0,0,0,
Team05_S1_iter14,S1,0.420,0.1030,0.0874,-0.3632,0.2540,1.8711,0.0880,0,0.0000,0.0000,0.0000,0.0538,0.3061,0,0,0.1400,0.5000,0,0,0,
Team05_S1_iter14,S1,0.430,0.1054,0.0773,-0.3543,0.2560,0.0626,0.0874,0,0.0000,0.0136,0.0068,0.0578,0.3523,0,0,0.3283,0.3117,0,0,0,
Team05_S1_iter14,S1,0.440,0.1077,0.0769,-0.2618,0.2378,7.7943,0.0773,0,0.0022,0.0000,0.0000,0.1750,0.6161,0,0,-0.4456,1.0000,0,1,0,
Team05_S1_iter14,S1,0.450,0.1101,0.0731,-0.2570,0.2561,-0.1605,0.0769,0,0.0000,0.0045,0.0479,0.1485,0.6028,0,0,0.3327,0.3073,0,0,0,
Team05_S1_iter14,S1,0.460,0.1127,0.0800,-0.1921,0.2623,2.8845,0.0731,0,0.0000,0.0057,0.0239,0.2148,0.7293,0,0,0.0593,0.5807,0,0,0,
Team05_S1_iter14,S1,0.470,0.1151,0.0813,-0.2541,0.2478,-6.4102,0.0800,0,0.0190,0.0248,0.0047,0.1404,0.5204,0,0,0.9263,-0.2863,0,0,0,
